Produto,2018_11,2018_12,2019_1,2019_2,2019_3,2019_4,2019_5,2019_6,2019_7,2019_8,2019_9,2019_10,2019_11,2019_12,2020_1,2020_2,2020_3,Total
GUNK CREAM CHEESE PÇ,0.0,12.0,2.0,1.0,0.0,2.0,11.0,4.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,2.0,43.0
GUNK CREAM CHEESE UN,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
GUNK CREAM MORANGO PÇ,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0
GUNK CREAM PIMENTA PÇ,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,11.0
GUNK CREAM SALMAO PÇ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
GUNK CREAM SALMAO UN,0.0,3.0,4.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0
GUNK CREAM SHIMEJI PÇ,0.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,19.0
GUNK GEL PIMET REP,0.0,57.0,95.0,74.0,25.0,18.0,64.0,58.0,57.0,76.0,181.0,53.0,52.0,51.0,73.0,60.0,43.0,1037.0
GUNK MARAC REP,0.0,64.0,102.0,85.0,21.0,23.0,96.0,79.0,97.0,137.0,174.0,107.0,88.0,159.0,79.0,124.0,55.0,1490.0
GUNK SAL/MAÇ SHIME PÇ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,32.0
GUNK SHIMEJ REP,0.0,16.0,49.0,52.0,21.0,25.0,39.0,35.0,45.0,66.0,31.0,59.0,46.0,38.0,47.0,48.0,29.0,646.0
GUNK TARTAR SALM 2UNI,0.0,3.0,22.0,23.0,8.0,5.0,13.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,77.0
GUNKAN BERINJELA UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUNKAN CREAM MARAC PC,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,2.0,1.0,18.0
GUNKAN CREAM MARACUJA UN,0.0,2.0,3.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0
GUNKAN CREAM MORANGO UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0
GUNKAN CREAM PIMENT UN,2.0,6.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0
GUNKAN GELEIA PC,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
GUNKAN GELEIA UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUNKAN MASSAGÔ,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0
GUNKAN MEL UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUNKAN SALMAO ARROZ UN,0.0,4.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,18.0
GUNKAN SALMAO/CAMARAO MOLHO ESPECIAL,0.0,8.0,3.0,2.0,0.0,6.0,5.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0,1.0,0.0,36.0
